,Name,Comment
0,,Better debates than last time!
1,Gary Bishop,Very surprised with moderator. Was fair to both men and actually asked a Democrat a hard question.Probaly never been to Epstein Island unlike her male counterparts.
2,Nick Dodd,This Presidential Debate: 'No U' extravaganza
3,MidnightMagnolia,"A European's view: Trump won this debate. He's right; Biden has been so long in American politics, yet now he's taking action?"
4,Cranjus McBasketball,"The moderator did a fantastic job. For once, we had Trump vs Biden. And not Trump vs moderator."
5,dick labobo,Trump knows the gig is over he's a desperate man trying to toss in the kitchen sink as well.
6,ONE TWO,Moderator is great! She isnt asking Biden soft ball quesions.
7,Angel Vicente,"Trump: ""who built the cages, Joe?"" 
Biden: ""Let's talk about what we're talkin' about..."""
8,Jorge Tarango,I wish they would not attack each other personally and talk more about there plans on the country’s issues.
9,Cosmic Fatty,"30:34 - Americans don't panic

Later that evening - Americans buying up all the toilet roll and pasta"
10,Joel L,"She's a quality moderator. Balanced, in control and professional. This was a much more respectable, robust debate than the first, by miles. Fair time between both and also an allowance for open back and forth. This is NBC?! Wow. Decently done for once in a long while."
11,IvO09,Biden sounds like he is doing a rick and morty commercial when he tries to speak to camera.
12,MaketheMusicFasion,"This moderator was a breath of fresh air, excellent job.

“They’re like a vacuum cleaner!” Omg dying 😂"
13,justin allbright,The mediator is doing much better than Chris wallace did
14,Paul Naylish,"Take a shot of tequilla every time Biden says ""Come on man"".  Makes his responses easier to take."
15,v s,They are like vacuum cleaner sucking money where he goes - DON
16,My comment Doesn’t matter but,Joe Biden is still on windows xp he needs windows 10
17,v s,If I spend 1 million on you Joe I will find plenty - DON
18,,The sad part is that most people don’t even know what “fracking” means.
19,Sephiroth517,"""The president of China is being transparent...""  Press X to doubt."
20,Apophenia Pareidolia,"Donald: ""You're the big man, I think. I don't know, maybe you're not. But you're the big man, I think.""

Joe:"
21,RomanK FM T.V.,She handled this debate like a master.
22,CopyCat,“48 Million in FBI agent research on me and they found absolutely nothing. I bet if I paid 1 Million I could find plenty wrong” - Trump
23,Mark Vance,She was a much better moderator than Chris Wallace.
24,TooNice Media,We had a good relationship with Hitler ... COME ON MAN .....-Joe biden
25,The Generalist,"""I ran because of you."" Pretty much says it all."
26,James Gall,"""The worst covid spikes have been in Red states."" 
- Joe Biden

""I don't see red states and blue states."" "
27,Vama Saini,Great moderator. Letting both parties speak and get their point across.
28,,“Come on Man!” - Joe ‘47 Years’ Biden
29,Alex K.,It's easy to moderate a debate where you can shut off the microphones.
30,DonAldutcher,"1:07:37 ""If you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing."" - Malcolm X"
