,Name,Comment
0,Wizzle Dizzle,So many loser trolls in here!! Probably bots that don’t even live in America.
1,SadSayori,"Second Amendment to the United States Constitution - ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."" Fundamentally what created our country was out ability as a people to rise against the government as they become tyrannical in nature. "
2,trinh huynh,"Please God bless President Trump ‘s re-election,President Trump he is the defender of the country and loves every American people 🙏🏼🙏🏼🙏🏼"
3,Ariel Lewis,"I love our first lady, she look like a very hones person. Let our American country great again. Trump 2020"
4,jasper leroy,"for better world with peace
(MIDDLE EAST)
trump 2020"
5,goaway,"On Tuesday the United States voters will decide the future for their country AND for the rest of the world. The rest of us can watch but cannot vote. 
The fate of every country is in the hands of American Patriots. God Bless!"
6,TheNarrator,"These are the free people, free from fear."
7,Ron,"This explains when I was driving why nobody was on the road today in Tampa, everyone was at this massive rally, LOL"
8,Kevin Moffatt,3 RD QUARTER  GDP IS  %33. PRESIDENT DONALD J TRUMP 2020
9,Emily R.,Can’t shutdown country we will ruin economies so bad!
10,JoAnn Fagen,Americans come together when their freedom of choice is threatened. God bless all of them.
11,Ann Saunders,So refreshing to see a Beautiful elegant first lady.. Trump 2020 🇬🇧🇺🇸🙏🙏
12,自由燈塔,"In fact, God has come to the earth. He is currently in the crowd, but everyone does not know it. He is observing the United States and observing what people say and do."
13,Jeremy,"The media treats Melania so badly, I'm glad the people showed her the love and support she deserves!!"
14,Hangfire,"Youtube is CENSORING more than ever now with deleting comments,  
shaddow-banning comments, and terminating accounts...especially when you
 post facts."
15,Justin L,The Democrats have officially lost the Latino vote in Florida
16,MagicHawkeye,"I love the pretty woman in the audience behind President Trump, who was wearing a blue dress with white stars on it, who held up a picture of nutty Nancy... then began to slowly rip it in half, and throw it away! Do you think she watched the President’s State of the Union address this year? Then she gave ol’ Chucky and ol’ Watermelon head the same treatment! You go girl!"
17,Jina Mai,"The crowd seems to get bigger and bigger at each rally.

Those that hate the President really has no idea what being happy means, they only know doom and gloom."
18,Shane Bushell,What an incredible man President Trump is! No wonder he is such a successful  human being! Such a fantastic personality and what a leader of the people of the U.S.A. and of the world! Patriots stand strong for your beautiful country and I believe the greatest president the world could have wished for...we thank you....from sad U.K.
19,Eva Emery,OMG LOOK AT ALL THE PEOPLE N THEY SAY BIDEN IS AHEAD. YEAH RIGHT
20,iVuDang,"I love how Trump is so savage in this one. Fox news needs to calm down with the ads running every 2 mins of the video though, otherwise it's better to watch on Cspan"
21,B N,Has anyone ever heard people saying.    We love you.   Like this
22,Robyn Jacobs,"Trump: ""Can you imagine losing to Biden? That won't happen!""                                                         Biden: ""I hope I lose to Trump, God help me"""
23,wvusmc,Florida is in the bag. Time to head back to the Rust Belt.
24,First Last,"""Poor kids are just as bright and just as talented as white kids."" - Joe Biden"
25,Emily R.,Joe to wrong for to long! He needs to go hide in his basements because he done!
26,Maximum Effort,They play the best music at Trump rallies!!
27,MissSands,"“In Delaware, the largest growth in population is Indian-Americans moving from India. You cannot go to a 7-Eleven or a Dunkin’ Donuts unless you have a slight Indian accent.” - Joe Biden"
28,Jay B,President Trump is the Law and Order President.  He's America's Savior.  God Bless him and his entire family.  I LOVE him dearly.
29,crAZy American,"Never has a President had mass amount of people shouting we love you,just amazing, but it's because we do luv Trump as our greatest President.. cA T2Q2Q KAG c'mon man the salt must flow"
30,Lisa Lynn,It was a wonderful rally. God Bless our President and Country.
31,Mary Beach,Can hear the cheers way down in Sarasota!!!!  Go TRUMP
32,Nugget of Truth - Eric King,If he loses all hell will break loose. Even if he wins...chaos for a moment...be safe. Sad that riots and haters will do their thing.
33,jt,"""Don't underestimate Joe's ability to F things up""    Barack Obama,,
.."
34,Brian Connolly,"This is so funny, people viewing:545pm
The big guy has 33000ppl watching.
Pence has 44000ppl watching
Trump has 253000 ppl watching."
35,Tina Preston,"WHEN TRUMP WINS AGAIN!!! NOT ONLY WILL HE SAVE AMERICA!! BUT WE THE PEOPLE WILL HAVE BEATEN THE EVIL, LYING FAKE NEWS MEDIA & BIG TECH BIG BROTHER GLOBALISTS!!😉"
36,Ha Vu,"I'm so impressed. The rally is big ,everyone loves him. We will vote for president Trump. I did my job how about you?"
37,Rowena Arthur,Biden is also there  holding his own rally with his 100 supporters and their 50 cars to make the crowd look big 😂😂😂.
38,Paw Oh,I love listening to my president Trump but the ad disturbing me every minutes
39,steve burns,"In my 68 years on this planet, I have respected and admired many presidents, this is the first one I have loved."
40,mike way,The economy is roaring back! I voted Trump and so should you if you love America! Keep America free again say no to socialism!
41,Thuy Hai,TRUMP will be big Winner 👍👍❤️❤️TRUMP❤️❤️.
42,Joy Glethi,"PRESIDENT TRUMP-EUROPE IS COUNTING ON YOU TO STOP GLOBAL SOCIALISM! YOU ARE THE LEADER OF THE FREE WORLD. THANK YOU FOR FIGHTING THIS TOUGH FIGHT FOR US ALL. GOD BLESS YOU DONALD J. TRUMP
LOVE AND PRAYERS FROM EUROPE❤🇺🇸🇭🇺"
43,Maddog 2020,"Trump's approval rating is now 53% all around

and it is at 56% on how he is handling the Communist's Virus."
44,Peter Jansen,"I see many more dead people, what was a country defending the free world is now a laugh. We saw a debate where a president couldn't even listen for two minutes. A very nice world with people like Bolsonaro, Duterte, Erdogan, Putin, it is jus waiting for war"
45,Pumba Friend of timon,"""Let's see how many idiots will take the vaccine."" - Bill Gates"
46,Anna William,Only legends with such a high energy MUST rule the US from now on. Let the history and the historians write the name of TRUMP with golden letters
47,Nicholas Nissen,They are keeping the polls skewed so when President Trump wins. They dems will say it was rigged blah blah blah. They will try and contest it and let the chaos insue. God speed Mr President.
48,Paige Madison,Praying for a trump win everyday. We’ve got this
49,Laura Beggs,I don’t understand how can Biden be leading the poll when there are 5 times more viewers on Trump rally than Biden rally?
50,ALM,"""We are a country of hope, not a country of fear and weakness...""  🇺🇸 Malania Trump"
51,Lt Dan 1969,"If Biden wins, he will put a big sign on the White House front lawn reading ”FOR SALE.”"
52,Mark Blackburn,"How does he do it? Yet another note-perfect, mostly 'off-script' speech (His best yet?) A closing highlight: the president introducing his ""beautiful and smart"" press secretary Kayleigh McEnany and her ""handsome"" talented hubby -- Tampa Bay pitcher Sean Gilmartin, and their little guy, (one-year-old) 'Blake.' On a personal note: Is it my imagination or do Florida people just look more attractive? Look at the blonde beauty, stage right, with the TAMPA LOVES MELANIA sign. We ALL look better in warm sunshine, of course but . . . look at all the joyful and beautiful faces in that crowd. Winners hanging out with winners. As Dad used to say: 'Water seeks its own level.'"
53,Ramzy Alioui,"All Americans, vote for Trump. The world needs your help!"
54,Jose Miguel Peralta,Vote red all the way down there’s no a single good democrat left.
55,Anna William,Keep suing google President Trump. Thank you
56,jerry kirkpatrick,Video dropping shortly: Judge Sullivan issues scorched-earth order blocking ALL DeJoy mail-slowing policies. Judge Sullivan is doing everything short of throwing a mail bag on his shoulder & driving the mail delivery truck himself. There are heroes among us. We will survive this.
57,Ryan Condon,It sounds like Fox News is quieting the crowd noise on purpose.
58,Alfonso Rivera,"PRAYER OF PROTECCION FOR OUR MR. PRESIDENT DONALD TRUMP!!🕯🕯

Thank you Divine Father, because you are the way, the truth and the life, as well as the light of the world."
59,linda sinclair,Melania is such a beautiful  and kind person. Lots of love from New Zealand.
60,Chye Phin Chen,"God bless America 🙏
God bless President Trump 🙏
God bless Melania Trump 🙏"
61,SIHAO ZHANG,"YO, YO , YO ,YO vote for trump. idk why, but just do it. Or else ur gonna get  dictator :biden."
62,Bill Smith,"You must vote in person. If your state has early voting, go this weekend and bring a friend. TRUMP 2020"
63,Joseph Ramos,"There's only one way to go and it's not to the basement!  Say NO to Sleepy Joe. Get out and VOTE, turn in the Mail Ballots!  🥳😀  
We don't want another Obama Regime Part Deux!  😳👎🤨"
64,Free Spirit,I heard Sleepy Joe voted for Trump by mistake
65,Mark Aldrich,"she is so smart, so hot, so awesome!!! come on DT's slogan should be Making America Smoking Hot!!!"
66,Mila Martinez,"The HOLY ESPIRIT bless The BEST  AMERICA PRESIDENT 
MY SUPER PRESIDENTE 
Hon President 
HON DONALD J TRUMP ."
67,Bad Corvette,"trump is preaching to the choir, the congregation has left the church! JACK"
68,Wizzle Dizzle,So many loser trolls in here!! Probably bots that don’t even live in America.
69,Hapow Over Here,CNN tomorrow: “Threesome! They’re great!” -Donald Trump
70,Darlene DeVegan,💗💗💗💗I just voted for President Trump! My family just voted for President Trump! Four more years to the best president America has ever had! we love you!
71,Eugene Petrone,"Also... Thank you to Tucker, Sean, Laura, Judge, Watters and the whole gang at FOX. You guys have shown what you are made of... and it is good stuff. :-)"
72,Bryan Tomlinson,You have to admit he hosts a great party.
73,Michael Currie,"Did you see all the
Tumble weeds at Joe's 
Rally 🤪"
74,Grant Daniell - Solo Performer,Melania is a career model with English as her second language and she still delivers a better speech than Biden lol
75,W. James Wright,"Love when the left talks about the ""Trump Base."" The Trump base is made up of a diverse group of people....black and white,  rich and poor and they will not be denied.  I predict , if there are no collusions and deceit from the Democratic party a red wave"
76,Jason Clark,No doubt she is the prettiest First Lady with a kind heart.
77,maryam mure,TRUMP LANDSLIDE COMING ♥️♥️♥️♥️
78,Tua Linden,Vote for President Trump and Mike Pence is a vote to put America back into God’s Almighty Hands 🙏
79,Donae Weston Piper Jr.,""" I am running against the worst Political opponent in Presidential election history..""  DT."
80,Esther Melisawaty,"FIRST LADY MELANIA HAS BEAUTIFUL FACE &  BEAUTIFUL HEART ,WONDERFUL MOM & WIFE 
GOD BLESSING USA & TRUMP FAMILY'S 🙏🙏🙏🙏💝💝💝💝"
81,eskinder T,"Trump is a"" Cathedral Thinker "" works for next generation . God Bless Him"
82,MotherBagheera,This entrance makes me so proud! It brings tears to my eyes to see how our people are finally standing up for righteousness! I’m proud to be an American also!! 4 MORE YEARS!!
83,Andrea,"I live in Illinois, and we are being locked down again. Restaurants are being closed. Ready to relocate. Nebraska, South Dakota?"
84,JaxmanDaBoss,"I was just at this rally, it was absolutely incredible! Prayers for the person who had a seizure out in the heat! GOD BLESS TRUMP!"
85,Ben Gun,What a fantastic leader. He's the best president in my 66 years on this planet.
86,J D,GOD BLESS THE USA!!!
87,Richard Yoachum,Trump stands for hope and prosperity Biden gloom-and-doom lock it down
88,Christopher Dennis,"""....you get close, you wear a mask..."" 2 people in the crowd behind him have a mask on😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂"
89,No One,"The more rallies he makes, the more people get sick. Sometimes it takes a good lesson. I'll miss these rallies. How many rally supporters can u convert? This is precious work"
90,Zeb Fross,Biden spoke for 25 minutes; Trump spoke for an hour and 20 minutes.
91,11C,BENNY RAMONE LUJAN FROM NM IS FIGHTING HARD FOR OPEN BORDERS AND PERMANENT SANCTUARY STATE....EATING UP YOUR HARD EARNED MONEY...✌
92,Tony Tran,"Don't trust the Polls. Go out and vote!!!!! VOTE, VOTE, VOTE......"
93,christa Born-Again,I love seeing them together. They are so beautiful together.
94,David Halseth,GOTTA LOVE THE LADY TEARING UP PHOTOS OF THE MARXISTS CONGRESSIONAL LEADERS!
95,Carlos Danger,I love how he super-sized the font on the MAGA hat. Undoubtedly just to irritate the left.
96,Joseph Greany,"If Trump dont win the election he needs to sue all the corrupt news media. Or take them over!! Cause he's clearly been winning. But they say Biddens. Lending they lieing to the American people!! And Trump has exposed them!! Common scents we can see Trump rally's has around 30.000 people attending them.  I haven't seen over 50 people attending Biddens rally's.. Except, when his running mate. Had to go close to the voting center. To use blowhorn. To tell the people to vote for Bidden. They might have had two hindered people there, if that.. That's pretty sickening.. Moreover, there's a video, were Bidden saying how him and Obama has been been rigging voting!!! The bottom line. If Bidden wins.. It was because of Biddens corruption or the corrupt news media. Or both!!"
97,Marcus Williams,All this lying for nothing. He has already lost and just doesn't know it.
98,Not Necessary,Just watched Biden's whole speech in the time it took Trump to walk from the plane to the stage!!!!! Hahaha
99,Patriot _,Trump landslide ♥️🇺🇸♥️🇺🇸♥️🇺🇸 Fake news and Tech are gonna lose AGAIN
100,Julia,Where’s Hunter? Where’s Joe? No questions about the Laptop?! Exactly! Trump 2020!!
101,David Flynn,"Nup.

If you think I'm gonna risk catching even the common-cold standing in line voting for either Trump or Biden, then you must be more stupid than they are."
102,Justin L,"I was there front row. Melania sat a few feet away from me. There was atleast 15,000 people at this rally"
103,Holly Kane,The way she looks to her husband to get reassurance is beautiful. All he has to do is smile then she is ok. Wonderful couple to look up to. Trump 2020!!!!!!!)
104,Fritigern Gothic,He’s going to be a great man. Hard to believe. We’re lucky.
105,Cecilia R.,GO OUT AND VOTE IN PERSON! TRUMP 2020!
106,Vera Gutman,"BIDEN AND HIS SON  HUNTER ,OBAMA,  AND MANY OTHER DEMOCRATS  HAVE BEEN IN ILLEGAL  BUSINESS FOR MANY YEARS ON THE TERRITORY OF UKRAINE WHEN  LEADED  THE COUNTRY  OF  EX. POROSHENKO .  AND HE GAVE THEM THE OPORTUNITY  TO DO ILLEGAL    BUSINESS  !!!"
107,Center-Right Proud-American,"Folks..... get out and vote.  Vote for Trump.   Vote all republican!      We can not afford to left the Harris/Biden Crime Syndicate anywhere near the white house!!!!

If you have already voted for crooked Joe.... Find out if your state lets you change your vote....and if you can ,  change  it."
