,Name,Comment
0,Army,They left the comments on. I give them that.
1,Benjamin Irfan,"People watchin this be like:

It’s the 60 minutes show but ran for 20"
2,Bastain Bux,5 days to go until vote day!!!
3,PM Narayanan,Is the Mask the Biggest issue that the whole world facing now? - One of the bad interviews i have seen in the recent past
4,Adrian Vicuna,I feel bad for the lady interviewing a president that lies to all of us
5,Danielle O'Brien,The 60 minuets interview that was 20 minuets
6,Keith Nayo,"When she opened that empty book, I couldn't stop laughing😂😂"
7,louden erskine,This should be titled a debate instead of interview
8,Dwain Johnson,"""These are the biggest rallies we ever had..you just come here with your negative attitude ""🤣🤣🤣"
9,Angel Lezay,They should really have Gorden Ramsay host these interviews.
10,Ruby,It's impossible to change a sociopath even for a professional chychologist.
11,bekind always,"When he gets up and she says... ""Be careful"" 😲🥴"
12,Sponge L,"""... start politely ..."", so you never blush?!"
13,JeeJeeArtCrafts,"It's truly amazing how he actually believes his own lies - mentally impaired in his perceptions.  I haven't been able to find any semblance of character in him.    His lies, and constant blame and the incredible need to deny realtiy if it is not serving him.  I don't really think he had anything to do with the success of the economy which he inherited from Obama who was the one who brought back the economy from the worst recession since 1929.  And on and on.   Trump is so stuck in his ego image and has done so much damage to this country, the first president to encourage division in stead of unity."
14,,I can’t believe this is real life
15,Nils Kroes,Show the whole interview don’t cut all the good things
16,bush1212a,"Com'on Lesley!  or Joe Biden would say, ""Com'on man!"""
17,Lukhanyiso Seti,""" you dont ask Biden tough questions"" what a baby.."
18,SJ Flow,7:58 When your nut game is weak
19,Paulius Siniauskas,2020 is the worlds mental breakdown year
20,Christine Corbett,"""Sir excuse me"" shes not fair"
21,James Milligan,He reminds me of Ben Kingsley in that Iron man movie.
22,MineCraft Royale Gamers,This interview sounds & looks like an old white married couple arguing 😂😂
23,AVBee AVBee,"Lesley: (Hillary's email scandal) why is this still an issue?
Also Lesley: *asking about suburban woman
Also Lesley: *asking pence about the fly"
24,Cal Crappie,She is not asking him questions. She is debating him.
25,Rosanna Flores,Pence actually looks like a default call of duty president.
26,Bailey Kuch,Watch the full uncut interview and you'll see a whole new perspective😓👌🏽
27,"Love, Unity",I just watched the unedited version of this. And I came to the conclusion that 60 minutes is a dishonest company altogether.
28,Emma1996able,"Mike Pence is a real politician, he knows how to speak. Donald Trump has more of a cowboy."
29,Nyc music mix,"The person scrolling down through the comments, have a nice day"
30,morgan higginbotham,they didn't even air the part when mike pence explained why he walked out too
31,spudbeau,So any journalist that asks him a challenging question is 'fake news'? The sad thing is that he believes his own press!
32,Mirgalam Yershat,Interview and the interviewer is definitely anti-Trump minded. What’s the point of giving background info? Bypassing Trump’s arguments?
33,triston parks,"Trump: I didn’t say this Leslie 
Everyone else: play the clip 👀😂"
34,Tasha Glam,They should really have Gorden Ramsay host these interviews.
35,robert trollston,"12:24 ""Mommy"""
36,Emely H.,Trump got so mad he had to walk out on the interview..😭😂
37,longwayist,"All the questions just about the virus, what interview would look like if the virus wouldn't happen lol"
38,SpXyE,"Cbs website sais:""Oops! This video isnt avaleble in your region!"" im from austria btw"
39,Sen zon,"Life Hack: 
If you slow the vid to 3x it will be 60 minutes"
40,FRED SOSA,This dude and his amnesia is off the charts....
41,Danyal Ajmal,3:39 that's the most pseudoscientific statement I've heard in a long time. I'm pretty sure Trump and his supporters are flat-earthers. They deny basic science lmfao
42,Rah A,why did she keep denying Biden family scandal? FBI have an active criminal investigation since 2019 against Hunter Biden
43,Azozeo,"Lie, cheat, and steal, I can’t tolerate you."
44,regina katherine,YouTube is getting real comfortable with these double 15 second unskipable ads.
45,kantha Subhiksa,"""You go back home, you go back home to mommy"" 😁😂"
46,Jedi Knight,"Lesley, well done for doing your job. The free press plays important role in exposing frauds-in-chief, the free press helps democracy. 🙂🇺🇸🇺🇸🇺🇸
Ignore negativities from that Bafoon🦧 as he's just a Liar-in-Chief."
47,Heidi,"As much as I love 60 minutes, I thought interviewers/hosts were supposed to be objective.  There is a clear tonal difference between this interview vs Norah with Biden.  Hopefully, we got the ratings we aspired for here bc unfortunately there's been a severe content deficit due to pandemic mayhem - seeing as I've been directly affected/unemployed and I'm here commenting on the last 20 mins and 46 secs + ad time I'll never get back.  "
48,Breezy Boyz,7:58 is when someone hits in em nuts
49,Marctoonz,"""this country will be in a position it has never been ever"" well technically he's right lol"
50,Papa Ogg,Oh my lord when he said of course he is leslie just made me die
51,Danyal Ajmal,5:44 says the guy that can't be convinced by scientific factuals. Contradiction at its finest!
52,darkprince56,"JFC, I could never do either job… In front of cameras with millions watching and OMG why are there so many people in the room?!"
53,REAL G,"Everyone gets a book, remember to read the small print as that is the real plan, where about? Which page? Look for it, it is in there somewhere"
54,Ultimateeick,"“Are you ok with some tough questions?”

“No”"
55,LYNAY LGWAYH,"it sickens me that they say ""you need proof, evidence for us to air this"" while we know there was a fisa warrant. how they say theres no scandal to biden NO proof at all. while we know theres a lot of proof things that link up together, there was little proof in the muller report but that according to 60 minutes is enough proof, theres enough proof in the ukrain impeachment deal but not enough with hunters company recieving billions from the chinese bank on a visit to china the same day on the same flight with Joe. also burisma, you know when a room smells like a cadaver you know somethings wrong even though you dont have the body. its the same Hunter recieving favorable positions and unrealistic deals at the same time his father is VP? "
56,zirak93 - 2,60 mintues became 20 mintues interview. 🤣🤣🤣
57,Spencer Baldwin,"The full interviews have been leaked, I suggest watching them. go to banned.video"
58,Fit Kiran,"When he gets up and she says... ""Be careful"" 😲🥴"
59,A. Khan,Sees „60 Minutes interview“ on youtube -> The Video is only 20 Minutes long
60,pitit San sacré bwa caiman,God bless president trump's .8 years in oval office
61,jshyoungblood,🤣its like the taxes... just a big book. such a con man. hilarious.
62,JDAC,"Was that a threat when she said ""be careful"" is she threatening the president of the United States?"
63,Kyle Davis,Leslie literally says he’s not in a scandal lmao wow
64,Allison Henderson,"“60 Minutes Interview”
20 minutes long
now wait a damn minute-"
65,fans home we love,My mental health is dying and suffering
66,Brandy Phillips,"Thank you Leslie, for asking questions we all want answers to. You were calm and rational and did an awesome job. Thanks again 👍"
67,Michael Milasuski,"Welcome to the dying media’s last ditch, click-bait effort to be relevant and capture a few more dollars before the world moves on."
68,Vivian George,"I too would like to be interviewed...not interrogated like at Josephine county jail and tortured by state of Jefferson, Oregonians! Unconstitutionally."
69,Will u help me get 2k subs?,YouTube is getting real comfortable with these double 15 second unskipable ads.
70,Sean M,Interview was closer to being 60 seconds than 60 minutes!
71,0415jacob,Lesley Stahl needs to retire. She was such an antagonist
72,10k,"11:31 we going to ignore the fact Lesley Stahl believes that to criticize a women is to ""go after her""??."
73,Deirdre Murphy,"Compare this interview with Biden & Kamala. He is the most genuine, the other 2 made me cringe"
74,Barny Does stuff,You know your early when the comments aren’t off
75,Loran Sabre,I love this guy i mean the way he trolls media is just epic
76,Hunga Bastah de Luxe,"The more interesting thing about Joe Biden is that he was Senator for Delaware, the most corrupt tax haven in the whole world, for 32 years. But: the evenly corrupt Republicans have no interest in debating that issue. Besides, the media neither. 'Nuff said."
77,ItachisKiller,"I'm so ready for the election to be over, the results to be in and the dust to have settled."
78,Jesse Muckinhoupt,"All the questions just about the virus, what interview would look like if the virus wouldn't happen lol"
79,Matt Sowards,"Reporter: Mr. Trump, what sort of icecream are you eating?

Trump: well its the best ice cream, maybe the best ice cream this country has ever had."
80,Michael Dennis Tooley,We just had a brother shot and his mother is whaling in the background. And our president is complaining about tough questions. BS
81,Nathan -,"Woh, why is a 60 minutes interview only 20 minutes. Where’s the other 40?"
82,Charlescites,Good to see 60 mins didn’t edit out ALL the nagging from Leslie.  Is she a journalist or the president’s ex-girlfriend 🤣😂😆.  Watch the unedited version of this. Total nag fest!!
83,Gage Hoover,"WATCH THE UNEDITED VERSION PLEASE, THESE MEDIA COMPANIES NEED TO STOP EDITING THIS STUFF"
84,Unknown Name,They should really have Judge Judy host these interviews
85,Nickthe_ Crusader,⚠️warning there’s a blizzard ❄️❄️❄️🥶🥶🥶below that gets super bad  over some political opinion you have been warned⚠️ here take this 🧥
86,Brown Brown williams,"Wooooa....,I feel bless and honor to 4194_victor . for helping me to recover my facebook and instagram account that was hack, I almost give up hope but you restore back my hope, thanks and bravo, you are a man of your words."
87,Adam Medina,"When will beings learn its ok to be wrong. Learn,enjoy,keep it moving. The universe isn't stopping for our feelings."
88,ْ,"I had a feeling something bad is going to happen in 2021. 
I posted this comment in case i died"
89,Some Azerbajina Guy,Tbh I wonder how many f bombs would have dropped if Samuel L. Jackson did this interview
90,John Hopper,The 60 minuets interview that was 20 minuets
91,Maggam Work Suhana Mirza,252 #TgsRiya
92,Rafael Only,YouTube is getting real comfortable with these double 15 second unskipable ads.
93,,I’m glad I live in New Zealand under Jacinda Ardern’s rule
94,The Memeest Film Buff 101,"These interviews have not been a good look 
at all."
95,Z EUDS,"""... LS ... just rather want to follow the old timer leadership of DR ... very soon follow him into the sun setting... or not...!""
EUDS"
96,bellus exhibeo,Wow like you really dont even have half the interview
97,Larry S,Waaaaaaaaaa!
98,222 handy,"This is just like that movie, Borat🤣"
99,K Star,"Lesley, listen, you're not allowing me to gaslight you."
100,tokinGLX,"i was standing in line to vote the other day and a car was driving past.  
the passenger rolled his window down and called out to us, ""how long have you been waiting?""
a lady behind me instantly yelled ""FOUR FK'ING YEARS!"
101,Jonathan Buchholtz,This is not the same interview as Biden. She was contentious from the start towards him.
102,Ice Gaming,`Y’all need to go watch the unedited version of this.
103,Dwayne James,Hamood habibi 2020
104,J Walker,"I like 60 minutes, however not up for watching buffoonery from this so called president."
105,Katrina Hamilton,"Who's Mommie though
This dude is strange
Wow 
Mommie Issues 4real"
106,Brooke Lawrence,“Be careful” 💛 so wholesome
107,Danielle Sobelman,Mike Pence at this point isn't even trying because he knows it's a sinking ship
108,Jules NZIETCHUENG,Simple truth : Alux and Courage does not work together.
109,6 Yup,The fly that was on Mike Pence’s head probably already voted early
110,Spencer Howard,"Insanity! That they put her face of full uncertain and un-magnified attentive emotion. To make viewers uncertain, they cut him off when he went on too prove his point of the greatest Economy."
111,Un- Deniable,You would think the interviewer could just be unbiased
112,Lisa Cash,Greatest president of my time! Hold true president your Awesome!!🥰
113,Lorraine Davis,Such a biased left narrative interview 🤬 Shame on you 60 minutes! 🤬
114,Roy Davidson,"“These are the biggest rallies we ever had, you’re so negative, these are the biggest rallies we ever had, these are the biggest— the biggest rallies we ever had.”"
115,April Lane,She has an issue with this administration.  There should be someone interviewing the President without an agenda.
116,Cole McClung,i thought this was called 60 mins whys it 20 mins tho
117,Awosusi,😶
118,Christian Munoz,Bigger rallies than his inauguration!? Lmao 😂
119,HunterShows,"""Mr. Pence, what is your position on health care?""
""The American people know what is best in America. Americans everywhere America America. We need to pray."""
120,Steven Van,4 more years.... 4 more years ... make America great again ....  Mr: President Trump
121,Kacie Nesby,He’s over the he’s been treated by the media.  I watch a variety of of news outlets and the difference is insane.  I would have walked out too.  I’m just as over it it as he is.
122,Zach Davis,"Wow, 30k down votes. 
Ok 60 minutes lol😂"
123,Hil SP,There's no chance she read that huge plan. She doesn't even know how to do her job properly.
124,SuperSpeedMonkey,"""Why do you want to be president again?""...   LOL"
125,iCuL8r,"Just a few years ago I regretted having to have an abortion but, the road this nation is on I'm just starting to feel better about that honorable decision I ultimately had to make. 
4This  has become a horriable nation to raise a child."
126,Mortified Penguin.,Trump is so efficient he can do a 60 minute interview in less than 21 minutes.
127,Kohei Ueno,"Big sharade, all acting their parts exactly as scripted. Do ppl really believe this s h1 t"
128,Isaac Dunham,"One episode after the lowest-rated, least-watched episode of ""The Celebrity Apprentice,"" after being advised to not talk about the ratings of the show by the producers, Donald Trump came out onto the stage and told the audience that the show had ""broke records"" and was the ""number 1 show on television"" for its popularity."
129,One4 ALL,60 minutes at 3 x speed. Imagine how slow they were actually talking...
130,Amru Jehad,60 minutes pure evil
131,Aminn Lodhia,He say Covid going away for almost 10 most and we hading naw 9.000.000 cases ha ha it’s going away the holl world saying he is a jog.
132,Two Cool Science Chix Science for Kids,I've had it with this dude!!!!!!!!
133,michelle warner,And of course you need to go to Donald J Trump for the entire interview and truth.😅🤣😂
