,Name,Comment
0,ValensBellator,I kinda wish we’d just turn off all cable news for a few months after voting. Focus on everyday life for a little while.
1,Barbara Walton,Don’t believe anything the president says about stimulus checks.
2,Mg Po,"Who is game over with eletion Trump and Joe?In excellence,america eletion is very legistically."
3,John Hamau,President Trump  did the right thing to move the US Embassy in Israel to  Jerusalem.
4,Eden Lim,The people in the village looks straight out from Far Cry 5
5,Allison Marie,And may we never see his like again!
6,Bry B,"To the couple who lost their business: If more people like you actually cared for the people negatively affected by systemic racism, maybe the police would feel a need police differently. If the police were willing to look at their policies, then maybe fewer Americans would die needlessly at the hands of the police. And if fewer people needlessly died, there would be less, (for those who feel it) need to speak for the unrepresented."
7,maria cronin,I’m so embarrassed and scared for our nation
8,J Dizzle,"The village people value money over their own life.... amazing how delusional these people are!
Who was that lady with the big hat! doesn't she know trumps a draft dodger?"
9,Ian Santiago,"because of covid thats why president trump and duterte will fail,we blame china"
10,Ryan Elliott,I feel like America is in an altered universe. Whole thing is bizarre.
11,Terry Wilson,Why do people think going bankrupt time after time makes you a good business man.
12,Ms Smortion,"""Never before have we heard a president delegitimise the most democratic election system in the world"".  Who are you people? ""...democratic election"".... you have to be kidding.  The USA is so corrupt, you buy and sell your politicians and the rest of the world just watches as your ""developed"" country goes backward on the social progress index.  The USA, along with Brazil and Hungary, are the only countries that have declined ranking in at 28th!!!!"
13,J Ramanathan,But he didn't  go down and kiss the people. All talk and alot of BS.
14,Dallas Nyberg,"I, for one, do not believe he had covid at all. I think he staged it to try to convince the public that it was nothing to worry about. Unfortunately, 227,000 dead American citizens might just conflict with his consensus."
15,Deomnibus Dubitandum,"“There is a cult of ignorance in the United States, and there has always been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that ’my ignorance is just as good as your knowledge.’” ― Issac Asimov"
16,Roger Hill,Someone in Australia really has it in for the U.S. President...
17,leonie burnham,"Kim Hoggard...what did you think Reagan's ""trickle down"" economics would lead to. 
40 years later here we are...sick, broke, barely educated and divided."
18,Beji Mathew,No chance Hillary was a weak candidate this time it's tough especially his and his family corruptions people now understood he is not right person to lead a country he is fraud and conman
19,Francis McCorey,"😂😂😂 am just imagining if trump loses the number of seniors that might die of stroke in the village, and am not wishing for anyone to die but seniors should be kept away from surprises"
20,Mogens Rasmussen,"""The most trusted democratric election system in the world"" ? Trusted by whom and where did she get that information ?"
21,ZL,The village group looks and acts like a cult.
22,Sarah Married,I couldn't even get proper healthcare when O'Bama and Biden were in office.
23,Mark M,Hey Trump! What will you do when FOX won't take your calls?
24,pipi kaka,"If not end for Trump in this election, it will be end for Americans."
25,Awolfe Canada,Meanwhile up here in Canada we’re nervous 😩 it’s not going to end well
26,Clifford Taylor,This man is not well we haven't had a president in four years
27,Jerry Williams,That was funny she said Biden was more of a feelings president yeah he'd like to put his hand on her and feel her and smell her hair
28,American Dog,"Let’s not forget how Pinocchio attacked Harley Davidson sending 10s of thousands of jobs overseas

Then we have the massive number of John Deere Cummins jobs "
29,Barbara Brace,"This sounds bought and paid for: bias, any? Also sounds like a lot of opinion only with nothing, nothing backing up those opinions. Opinions are fine but that's all they are in the end. Objective research would be helpful. This is just more of the usual over-the-top, waste of time emotional rant."
30,April Drosos,Sure looks like it.  Now God is relevant now that the ship is sinking
31,Mr.Gamer10,He's cleaning house of all of the corrupt politicians that got comfortable fkn over the American People. That's why they switched to Joe.. Cuz he's as corrupt as they come
32,James Buam,The commentator did not qualify the 10% unemployment was down to the lockdown?
33,Andrew Fraser,Now this program doesn't bias in any way.... :-D
34,beagle,"in utah overnight they ran out of icu  beds and  those beds were being given on survivability and age ,,, too old or too ill  and you didnt receive a icu bed ,,,,, anyone with conditions or over 60 get ready to meet the lord ,,, prepare to die for 4 more years ,, no helecopter and ten doctors because you dont feel to good ,,,,  not for your family or mine ,,, this is a death sentance ,,,, herd imunity the old must die for trump and the economy ,,,, long live trump and usa"
35,Kobus Meyer,"Oh how I wish news could be objective again
No wonder people feel like this about Trump."
