,Name,Comment
0,Hey Sam Graham Cartoons,Many swing states still a toss-up! Make sure to VOTE! This could go EITHER way!
1,Lex Slate,The worst part about America's fascist meltdown is the horrific loss of life and the misery inflicted upon anyone that isn't a rich white sociopath. The second worst part is the whining.
2,TheFeldhamster,"""The socialism""?!? The US barely has a centrist party as even the Democrats would be considered right of center here in Europe. What socialism?"
3,Diego,"Erick: ""Im not popular and noone likes me.  It has to be facebook's fault because I'm rich and my daddy is the president."""
4,Trevor Lambert,"Trump at his rallies is like a really, really bad stand-up comic."
5,D Bone,"""To infinity is where I'm going. And maybe, even, a little bit further."""
6,Courtney Garcia,He literally said he'd bang the gavel to end America. And the crowd cheers.
7,sgbobsg,The majority of Americans support the Democrats and their policies. The Republican gang is out of touch with real Americans and are lying and cheating to hang on to power.
8,muckymucks,"I heard a soy farmer being interviewed today and he said that Trump's trade war with China cost him $18,000 but that it eventually worked out. He was then asked if he took advantage of the farmers aid bill passed by the Congress and signed by Trump and he said he did. So, socialism seems to be working for these idiots but they're so stupid and myopic they fail to see that it's socialism. It's only socialism for brown and black people."
9,taxx man,"""To infinity is where I'm going. And maybe, even, a little bit further."""
10,Mark S,"did he say ""he won't bang Nancy with it?""

and Ron is from my state....and he clearly drank the orange kool-aid...good god."
11,DB,Moscow Mitch and Vampire Rudy have to be the biggest weirdos in his inner circle
12,GREY Wolf,"""Lesley Stahl was mean to me"" ""She asked me tough questions"" ""So being the coward that I am, I walked off""
-DJT"
13,nick lu,"The thing most people aren't really talking about is, even if you get the virus and you are asymptomatic, as your immune system fights that virus off, there is a very very very small chance that virus could mutate and adapt, the more of us it infects and learns how to harm, the worse it's going to get.  Every person infected is another chance for the virus to become something more communicable or deadly. Preventing infection is the only way to decrease the odds of this occuring."
14,Renoir,I love how these guys want to ‘end socialism’ but have no problem claiming free medical care or living expenses while the rest of us rot.
15,Trump 4 Prison 2020,"Won't be Suprise that even Lying
Ted Cruz is voting for Biden in 
Soon to be Blue Texas 🤣😷"
16,Walter W. Krijthe,"People should get fired for insults? Trump insults everyone, who can we call to fire him?"
17,Luminaria Stormreaver,"Ron Johnson ran on a platform of, “I’m not telling you!""
He refused to provide answers on his positions for important issues in Wisconsin.
I’m not sure how he even won. There was nothing to vote For!"
18,Don Opperman,"Oh Eric, there's no manipulation on social media. 
It's just that everyone hates you ."
19,Napoleon I Bonaparte,The GOP really needs to “tuck their shirts” in...
20,kazolar,"I cannot believe he literally described a joke meme of someone eating with a mask. We know he is not OK, but are the people in the crowd that stupid ... ok I  know. Nevermind."
21,Noah Karpinski,"There's no way Trump is going to win the election short of obese cheating.

Go vote everyone because we're finally going to fix the Trump virus, and I'm not talking about COVID."
22,Lisa Rose,Still hard to believe that a bunch of wounded toddlers are the ones “in charge”. WTF. I vote for grown ups steering the ship.  Pleeezzzzz
23,Long Rod von Hugendong,Did Eric’s parents share a womb? He’s looking a little “undercooked” these days.
24,KCohere33,“I won’t bang her with it.” I can’t get over that. Was he trying to sound like a creep?
25,Speaking Truth,"They love the lies trump tells, love how much of bully he’s is, but can’t take anyone being mean to them."
26,berkay elmastaş,"I have asked this for years: how does one get to be THAT old, and still act like a child?!"
27,The BizzMoneyB,“Social media biased AGAINST conservatives?!”  Facebook implemented an algorithm that heavily steered traffic away from liberal outlets and TO conservative outlets.  There’s data to back this up.
