,Name,Comment
0,SneekyMelon,Who won this debate? Like for Trump Comment for Biden
1,Honey Groove,Search up on YT: “I was voting for Biden but this change my mind to trump”
2,Dullahan,"Trump didn't gain riches from being a politician
Biden did

Now who's riches are more questionable?"
3,Synical Tearz,"Who do u support? Like for trump, comment for Biden."
4,The HITBOY,"Biden: ""Russia will pay the price!""
Putin: Marks as spam"
5,karen straughan,"""I have never taken a single penny from another country, ever ever ever.""

Yeah, we know. You took it from your son, who got it from those other countries. That's how corrupt politicians get away with it."
6,Sirius Stark Al Ghul,"""Foreign comp- foreign countries""

What, so used to foreign companies paying you that it comes out automatically?"
7,Arden Charles Santos,Biden voluntarily run for the presidency to voluntarily criminalized.
8,dmace81,Kinda scared for trump exposing biden like this.  Hope nothing happens to him.
9,MrSlippyFist,The only time Trump lied in this debate was when he said Biden remembers very well.
10,Advanced Chiropractic Relief LLC,"Come on man! Trump does things, Biden is all talk but no action."
11,Jacob Russell,I wonder how much the other countries are gonna pay Biden to keep interfering the elections. TRUMP 2020
12,Hans Wurst,"i like how biden makes advertisement for trump with all he says. he wants confrontation and war, he doesnt even care where. russia, iran, northkorea... its very easy to see who hes working for. companies waiting for deals, war must be started"
13,Ellis Mahoney,"Trump: “The emails, all of the emails the horrible emails” 😂 trump does make me laugh"
14,Wolfie,"Yo he ain’t the Vice President, why she keep calling him that"
15,Michael H,Biden lies so much about everything he's done and plans to do in the future.   Sickening.
16,David Lawrence,You notice how Biden always avoids answering the question and always deflects to something else...
17,Baby Girl 3588,"You’re still smiling Biden, sometimes kids do that when they’re guilty and then their parents know that they’re lying."
18,fat jack,"""I ,HAVE, NEVER, TAKEN, MONEY, FROM, RUSSIA""..
""I, DID, NOT, HAVE, SEXUAL, RELATIONS, WITH, THAT, WOMAN"".. 😂😂😂"
19,Tektonik 7.62,"2:44 that look on Joe's face was like "" How did you find out?!?!"""
20,RamblinAround,Wow....it's actually staggering how Biden can look right into the camera and flat lie to everyone.  He must think we are all complete idiots.
21,Ally Eyles,“While he was selling pillows and sheets I was selling tank busters to Ukraine” brilliant!
22,Bqryln,"Literally why would we want Biden as our leader? He can’t pronounce words correctly and people want him to become president? Let’s see, I bet you can’t even count how much times he has stuttered. I’m sure trump has stuttered 3-4 times but I’m sure Biden has stuttered over 190. Also he always repeats the same answers for almost every BLM question. He’s obviously hiding that he’s racist, can’t we see that? The only reason he’s acting like he’s not racist is because the election is soon. Biden is hiding the fact he’s going to make this country a slaughter house."
23,Stewart Beckman,I'm so sick of this alleged crap... There's nothing alleged about it.   The facts in hand already support the obvious conclusion.
24,bryston moor,"I'm an African and it's a disgrace to imagine these are the best a great nation like America can put up for president.  Someone who can't even pronounce words well.  The ought to be people far more better than Biden. 
I think Trump can help the Americans. Biden talks with a lot of pretense.."
25,Huckleberry Hound,Why didn’t Biden do any of his things during his 8 years as VP?
26,Walter Kamora,"Biden admitting that he says just like Ukraine, ""they will pay a price."""
27,Mairudo Maiku,"""I have not taken a penny from any foreign source ever in my life.""

What a weak lie. He sounds like he doesn't even believe what he's saying."
28,Fixed Face,"here's the deal, those hairy, summerblonde  legs won’t stroke themselves, cmon man! period!"
29,Citizen Of the World,Trump is a successful business man who hired people. Biden make money in the politic
30,Joni Smith,"Biden is in deep trouble, Tony Bobulinski has proof he is lying."
31,dalton carter,Biden can’t talk why would we want him as president
32,ADRIAAN1007,"""I have not taken a penny from a foreign source ever in my life"" But your family has, you use them as a proxy that's the whole point. How do you even deny it with all the evidence that has surfaced recently."
33,janice ginexi,"That quirky look on Biden’s face when Trump drops the $3,000,000 payoff doesn’t bode well for him ."
