,Name,Comment
0,Epic Gamer,This horrible desise.... that came from China people in China: that’s it I’m killing him
1,Zano Ngeleza,Was I the only one who died when Biden giggled on Trump's statement about his brother? 😂😂😂😂
2,Merica's Finest,Was this live on comedy central
3,mega City,"This is a private debate Bombing each other they’re not talking about Jobless people, poor people  They don’t care what is going on around the world,,,, so many more problems about State  future...... they are  just blaming each other , this is disgusting."
4,J Bernhardt,biden sounds like a dude at the bar gossiping with his friends.
5,Ool Skool,Better reading comments than watching a comedy show.... Killing me sofly than the 1000 ways to die tv show
6,BLITz,"Any vote for Biden is a vote for Harris, no one at that age can run a country. Within a year Biden will be basket weaving and Kamala is in. Wonder if that’s the grand plan?"
7,Matija Jelinić,"The red states are having massive spikes because generally, they're the largely populated ones. Dumb defence."
8,Nyandwi Vital,"WAKE UP PEOPLE. GET OUT THE MATRIX.
""Presidents are selected, not elected.""

Franklin D Roosevelt"
9,Graham Stephen R,"Seriously 😒 how TF is this even a race
I’m Irish ☘️ and there can only be one winner here. 
Four more years no contest 🗳 yanks."
10,TheKetsa,American politics is such a JOKE...
11,Pain,Divide and conquer. It’s all political theatre. As real as Santa Claus and WWE
12,James Hicks,pretty surprised that comments are allowed.
13,Manuel Garay,"Dark winter, hmmm? That doesn´t sound good at all."
14,Rich Paradise,"1:00:43 “who built the cages Joe?
Who built the cages!"
15,Cruz Solo,This debate is hella hilarious we got two grown men arguing over morals and standards which neither of them have any morals or standards let alone understand the meaning of them
16,,Such a GREAT debate this time!
17,David M,I like how Trump points and says excuse me 😂 😂 😂
18,Daniela Rivera,These 2 make me laugh. I dont know what to believe I really don't.
19,AuryxTaken King,I like watching two 70-year-old kindergartens fight.
20,Marissa Loera,"Trumps hand gesture kills me everytime , just watch 😂😂"
21,Ian Folmar,KAMALA HARRIS HAS JAILED MORE BLACK MALES N FEMALES THAN THE ENTIRE STATE OF KENTUCKY ??? NO JOE...
22,Quincy Cartright,"Trump is like ""we have the resources, but things are getting worse. Biden offered to fix the economy, but I insisted that he don't""."
23,Katarina Đorđević,like a strict school teacher and two grounded students explaining their way out of detention
24,Brad Farquharson,did trump just compare himself to Abraham Lincon? LMAO.
25,Jonah Sparkes,Forget all of this just get kanye west on
26,Rex Haney,Sleepy Joe zzz.... I said Joe's so much laying the blame on somebody but himself sleepy Joe
27,M M,"Now it's YOUR turn, Joey, to prove your accusations!"
28,HIS Holiness rotten banana,"American leadership is a clown chair and this politicians are joke, America created Corona and they are framing  china America must realise this world today living in 21st century"
29,jose jimenez,SSA: Separate States of America
30,Thomas Jefferson,I got a whole lotta popcorn ready for the comment section.
31,Jasper Jacobs,"This is a insane show for non Americans.
If I was moderating, I'd would mute them so much😂😂"
32,bh bh,"Here we are again, f-ing sad , and why does the majority of voters think there are only two choices?  The answer is the media , bottom line, it doesn't have to be the lesser of two evils ..... why the hell is everyone think its a two party system ?  I think i already answered that........."
33,DIY experiment techy,"american think trump is not doing great.. but me as asian.. i respect america for imposing and figthing china for its aggressive imperialism to its neighbor country.. hoping if biden win america still support bully asian countrys., but if trump win america will rise as most powerful. take note america make money for selling arms weapon in other country."
34,little bits,bruh this is like call of duty mutliplayer lobbys
35,Abdul Rahman Ali,When is African leaders going to stop fighting and len something funny like this
36,Matthias Bachetzky,"4:16 That ""uninterrupted"" was a little shock for Biden at first"
37,Chronic,"God playing plague inc, HES doing the classic strategy start with the biggest country CHINA"
38,Johnny G,Joe “the big guy” Biden. Come on man.
39,khuz'intombiyakho Mzilagazi,May the strong immune system win😩
40,thomas yap,This is never ending. Someone give both of them pair of gloves. Let them slug it out until one gives up.
41,HIS Holiness rotten banana,Look at this bullies leading Americans 😂🤣😂🤣
42,Noel Hogan,It’s like trying to choose between a Vodka or Gin & Tonic when your T Total 🤦‍♂️
43,LinksHopping Golfer,"Trump: I take full responsibility!... It's China's fault.
Hahahahaha!!! This was hilarious!"
44,Epidemic Effect,“There’s a big difference between playing to win and playing not to lose”.Trump 2020 🇺🇸
45,Aaa Iva,"Me not an American: Entertainment, yehee 🤣"
46,Ethan DeBoer,It’s funny how trump says “China” just listen.
47,Goldenskittlee,'we're going to have the best economy however we have to do that on fossil fuels' hmm
48,The Will of the Lyg,Biden when he doesnt know how to end his sentence: CMOOOON
49,Julie Granne,More actions.     Less TALKING.    🤐👍🏼👍🏼👍🏼🙏🏼🙏🏼🙏🏼🙏🏼👏👏👏👏👏👏
50,Sam Walling,"“I don’t look at it as red and blue states.... 

But look at the red states, they are the ones with spiking outbreaks”
😂😂😂😂😂"
51,Kerim Grozny,"I'm from Grozny, Chechnya, and I have no idea why I'm watching this.."
52,Joe Mcmanus,OMG she didn’t let Trump speak half as much. All she says when Trump responds is let me move on.. let me move on. But when Biden interferes she gives him all the time she wants and I can’t help getting halfway through and thinking she’s probably got a vote Biden T shirt on under that jacket
53,Jay NYC,Y’all remember that one time when Trump wrestled Mr McMan from WWE ?
54,Jarno Kokkonen,"Stop consuming animal products, that is the reason we have those zoonotic diseases"
55,Sia M. C.,"I can't believe these are the ""serious"" candidates the Americans have to choose in between in 2020... I really feel sorry for this country (especially for their health system) and for the other countries that are expecting the US to save them from their wars..."
56,"6'5, Give Me Some Leg Room","Joe Biden: I dont look at the states as red/blue as he does.

Also Joe Biden: Look at the Red states, there are covid spikes!"
57,Trademark uk,The best cartoon show in the world:    Scrawny & Fatso......
58,Joshua James,Everyone praising the moderator when it's the mute button that's doing all the work. lmfao
59,Stephen Connors,"2:12 ""Two minutes uninterrupted"" video starts buffering"
60,Nubiana Scales,"This is straight drama tv!!! Airing dirty laundry smh. Bringing up their mamas, brother, cousins, uncles son 😂😂😂.."
61,Dmitrii Zuev,"Biden said he will reduce the drug prices, ""Wowa waywa!"" - Borat."
62,frzr,"""I don't know where he comes from""
""queens"" 😂😂😂😂"
63,Giu Figaia,Biden is Crazy.
64,Ganary Girl,"Wat?!? “People are worried about getting sick from this facilities”
“Well, they are making MONEY”"
65,Nile Miller,"Forget an election, let’s have Trump vs Biden, Boxing rules with no rehydration clause, winner takes all"
66,No Way,Joe Biden: What the hell i am doing here! Awkward!
67,antonia,"the moderator before the debate started: I think I’ve seen this film before
And I didn’t like the ending"
68,Anis Cocka,"Best of this debate
Trump: China
Joe: Cmooon 
🤣🤣🤣🤣"
69,Aaron Mcdonnell,Joe is so boring he'd put sleeping pills out of business sleepy Joe 😂😂
70,Detromitor,"I feel like Biden knows what he's talking about, but half of what he says is suffering confusion"
71,Beny Axelrod,"Biden became alot sleepier, so he probably drank too much Coffee this time 😂😂"
72,Jacek Wisniewski,Why would the working class support a candidate like Joe Biden who spent his political life screwing them over and shipping their jobs overseas?
73,tarnowek1,"Search ""Operation  Dark Winter "" this is what biden is talking about and planing ? that's very scary...."
74,Fab,"Joe Biden ""we need standards"" That's an Oxymoron"
75,Jp Usa,When I see the carpet they are standing on I keep thinking of the barstool sports logo
76,Supreme Yoshi,18:45 bro Massachusetts is a democrat state and we're having a massive spike too. This duuuuuuude.
77,nøø dlëš,I don't trust either of this fools...
78,M M,"Had the same thought as Trump, this Joey is always pulling the attention to ""sitting around the table"". 😂"
79,Islam Islam Khan,"Las Donald Trump president not 2020,,,?"
80,Willie Carraway,Why he taken so long to show his tax return
81,Brian Phelps,"All i know is, one of theses people said the coronavirus was a hoax, a fired the previous pandemic team with the previous organization, and rather not trust science. Also lied and said he didn't want to tell the American people about this because of the results🤷🏿"
82,Carlos RDZ,26:56 he said that Goku was supposed to work with his family?
83,Sam C,If we just wore these masks... said while waving it in hand XD
84,Rhonda Bowman,There he goes..he's playing his accordion. 😆
85,Alin George,"HERE IS THE REAL DEAL 😂

ma man Biden loves that sentance."
86,Jessica Dickey,"Neither had a direct response to the solution of ""black and brown"" problems smh"
87,Jakob Muraschkovski,"„Wo build the cages, joe?” “Let’s talk about what where talking about”.

So he basically admitted that Trump was right."
88,Rational Economic Man,There should be a third and final round in the octagon: kicks and punches 💪
89,Kim Lee,"Trump: Who built the cages joe?
Biden: ...(help me moderator!!)"
90,Abdur Rehman Nasir,bruh who else clicked thinking this was another ytp
91,lee wang,49:49 PeRiOd PeRiOd PeRiOd PeRiOd PeRiOd
92,Joshua Welsh,Why is it every time there’s an election. Something tragic have like a pandemic or a war so they can praise them selves about it and win votes. The people should not forget who their attention should go to Their own personal God
93,D0P3Y,She is reffing this way better then the last guy at least...
94,Sassi Wong,Everything joe want to do are things he could have done when he was vice president
95,auguricom,Trump has experienced and conquered the virus and he now knows how it feels. I believe he will do better when re-elected?
96,Sam Rash,I'm Canadian but this is entertaining
97,Kennon Williams,Yall see this he dont want to raise minimum wages...
98,Miss Riatsu,The moderator was so much better than the last 😂
99,Philip Mithun,"Trump: 'Lets talk about the cages Joe..' 
Joe: 'lets talk about what we're talking about'.. 

Wasn't that what they were talking about?!?! 🤷‍♂️"
100,Lord Gaben,"Ricky Gervais should have been the moderator, the US presidential election is already a circus"
101,Cycy Prettylittlething,Trump has a point 🙁🤔 why didn’t he do it the last 8 years
102,Soringmi Raising,This leaders care so much for their people but in India leaders don't even care what people eats also millions of people are still jobless
103,cautare pvp,"12:07 "" It's China's fault"" ahhaha epic
he doesnt care if he insults nations lol"
104,Chronic,"“1000 deaths a day” 
Hitler: Phssh “Rookie numbers”"
105,Joshua James,"Imagine being in a situation where we had two candidates we wanted to vote for and had to think hard about who we liked more, not who we absolutey despised less.."
106,Formula 274,"13:59 

They will get infected with the virus
well they got money🤣🤣"
107,Abrar Amilasan,I feel like nobody here in the comment section is american because of how pathetic this presidential debate has been
108,Jal DG,China: look at them..they're fighting bcoz of me! I'm flattered🤣
109,Amirkia,"37:20  
when im home alone but i hear voices"
110,ilmi yusuf,Why did no one told me this is where the fun at I been watching cats fight all day till I accidentally galled here
111,Lee N/A,"1:17:37 awkward silence, Bidon is a joke"
112,Tasha Reis,If anyone knows about keeping secrets from the American people for 47 years
113,Rustam Tashpulatov,"I am Canadian and have no stoke in this election. I am also a living, real person living in Alberta and I am not a troll. Thus, I believe I can be objective. I personally see a huge weakness with Biden because on many issues he is either intentionally lying or just has a wishful thinking.
For my example, I will use only two issues: Immigration and Energy. On immigration, he is promising on Day one to restore DACA and provide a path for citizenship for the undocumented alliens. However, he conveniently forgets that any changes to Immigration and Naturalization Act requires Congress approval and even among the moderate Democrats there is no appetite for another Amnesty. The last Amnesty was done by Reagan which is billions years ago in the election timeframe. However, with XX years the pool of the illegal immigrants have pretty much replenished. What is the guarantee that after another amnesty we shall not have more illegal immigrants coming here hoping to get another Amnesty down the road?"
114,Stefan Jemuovic,"Can't wait until this ""laptop from hell"" that Trump refers to that EVERYONE knows what he is talking about comes to light!!!!"
115,Liam Yarbrough,32:05 “Here’s what the deal” 😤
116,English Dean,Watching this from the UK. We should implement this rule of muting mics etc.
117,HIS Holiness rotten banana,America should elect a humble and genuine person as president all these politicians America gave birth till the day are the biggest terrorist till the date bombing and robbing is in their gene
118,Carly Steffen,"Donald Trump might steal Joe Biden’s term after the election if Biden wins. Therefore, the only way to defeat Trump might be with capital punishment!"
119,Mity,ive heard more about china in this debate than the US itself
120,Spoiler Dude,"1 mill ppl watched 2 70 year olds having a fit about politics, how many ppl here arent americans are dont really give one about what happens?"
121,Rod Jose Nico,"Both who are elected to be a president of US get bribery from overseas. wow, I see why people they said there is no US, it is all about money, no patriotic in US. the leaders has Zero patriotic. and this why we are going backward and Russia and china with 1/4 US budget able to win US."
122,Cyber420,Biden: CoMe On I NeVeR SaID
123,dim_107,2020 presidential debate is my favourite comedy
124,Klan_dyke,Why does the recorded footage look so vintage and as if it's from a late 90s video.
125,Derrick Rose,AMERICA HAS FALLEN ‼️💔
126,Rashed Abuamoud,Its so pathetic that america still needs to talk about racism and how to solve it 😂😂. What a joke
127,The Martian Music,"The U.S is just like these tik tok people... they don’t care how dumb they look, as long as all eyes are on them 🤣🤣 any publicity is good publicity I guess 🤦‍♂️"
128,Brickski,our economy has been like 5th or something for a long time what is he talkin about
129,Keanu Reeves,"This got boring really fast, we need the fighting and yelling and AMERICA so we can all laugh at them."
130,Ian Folmar,2020 USA PRESIDENTIAL G.P.A.: A+/ 4.0
